@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.attribute.Remove-R6-7'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute TPCP_CLASS {Medium,High,Low,None}

@data
118,41.8452,-123.9647,3,High
118,41.8452,-123.9647,4,High
118,41.8452,-123.9647,5,High
118,41.8452,-123.9647,6,High
118,41.8452,-123.9647,7,Medium
118,41.8452,-123.9647,8,None
118,41.8452,-123.9647,9,None
118,41.8452,-123.9647,10,High
118,41.8452,-123.9647,11,High
118,41.8452,-123.9647,12,High
118,41.8452,-123.9647,1,High
118,41.8452,-123.9647,2,High
118,41.8452,-123.9647,3,High
118,41.8452,-123.9647,4,High
118,41.8452,-123.9647,5,Medium
118,41.8452,-123.9647,6,Medium
118,41.8452,-123.9647,7,Low
118,41.8452,-123.9647,8,High
118,41.8452,-123.9647,9,Low
118,41.8452,-123.9647,10,High
118,41.8452,-123.9647,11,Medium
118,41.8452,-123.9647,12,High
118,41.8452,-123.9647,1,High
118,41.8452,-123.9647,2,High
118,41.8452,-123.9647,3,High
118,41.8452,-123.9647,4,High
118,41.8452,-123.9647,5,Medium
118,41.8452,-123.9647,6,Medium
118,41.8452,-123.9647,7,Low
1389.9,40.1703,-121.0883,1,Medium
1389.9,40.1703,-121.0883,2,High
1389.9,40.1703,-121.0883,3,High
1389.9,40.1703,-121.0883,4,High
1389.9,40.1703,-121.0883,5,High
1389.9,40.1703,-121.0883,6,High
1389.9,40.1703,-121.0883,7,None
1389.9,40.1703,-121.0883,8,None
1389.9,40.1703,-121.0883,9,Low
1389.9,40.1703,-121.0883,10,High
1389.9,40.1703,-121.0883,11,High
1389.9,40.1705,-121.0886,12,Low
1389.9,40.1705,-121.0886,1,Medium
1389.9,40.1705,-121.0886,2,High
1389.9,40.1705,-121.0886,3,High
1389.9,40.1705,-121.0886,4,Medium
1389.9,40.1705,-121.0886,5,High
1389.9,40.1705,-121.0886,6,Medium
1389.9,40.1705,-121.0886,7,None
1389.9,40.1705,-121.0886,8,None
1389.9,40.1705,-121.0886,9,Medium
1389.9,40.1705,-121.0886,10,High
1389.9,40.1705,-121.0886,11,High
1389.9,40.1705,-121.0886,12,Medium
1389.9,40.1705,-121.0886,1,High
1389.9,40.1705,-121.0886,2,High
1389.9,40.1705,-121.0886,3,High
1389.9,40.1705,-121.0886,4,Medium
1389.9,40.1705,-121.0886,5,Medium
1389.9,40.1705,-121.0886,6,None
1389.9,40.1705,-121.0886,7,None
2071.7,37.9567,-119.1194,1,Medium
2071.7,37.9567,-119.1194,2,High
2071.7,37.9567,-119.1194,3,High
2071.7,37.9567,-119.1194,4,Medium
2071.7,37.9567,-119.1194,5,Low
2071.7,37.9567,-119.1194,6,Medium
2071.7,37.9567,-119.1194,7,Low
2071.7,37.9567,-119.1194,8,Low
2071.7,37.9567,-119.1194,9,Medium
2071.7,37.9567,-119.1194,10,Medium
2071.7,37.9567,-119.1194,11,Low
2071.7,37.9567,-119.1194,12,High
2071.7,37.9567,-119.1194,1,High
2071.7,37.9567,-119.1194,2,Low
2071.7,37.9567,-119.1194,3,Medium
2071.7,37.9567,-119.1194,4,Medium
2071.7,37.9567,-119.1194,5,Medium
2071.7,37.9567,-119.1194,6,Low
2071.7,37.9567,-119.1194,7,Low
2071.7,37.9567,-119.1194,8,Medium
2071.7,37.9567,-119.1194,9,Low
2071.7,37.9567,-119.1194,10,Medium
2071.7,37.9567,-119.1194,11,Medium
2071.7,37.9567,-119.1194,12,High
2071.7,37.9567,-119.1194,1,Low
2071.7,37.9567,-119.1194,2,Medium
2071.7,37.9567,-119.1194,3,Low
2071.7,37.9567,-119.1194,4,Medium
2071.7,37.9567,-119.1194,5,Medium
2071.7,37.9567,-119.1194,6,Low
2071.7,37.9567,-119.1194,7,Medium
2071.7,37.9567,-119.1194,8,Medium
2071.7,37.9567,-119.1194,9,Medium
2071.7,37.9567,-119.1194,10,Medium
2071.7,37.9567,-119.1194,11,Low
2071.7,37.9567,-119.1194,12,Medium
2071.7,37.9567,-119.1194,1,High
2071.7,37.9567,-119.1194,2,High
2071.7,37.9567,-119.1194,3,High
2071.7,37.9567,-119.1194,4,Medium
2071.7,37.9567,-119.1194,5,Medium
2071.7,37.9567,-119.1194,6,Medium
2071.7,37.9567,-119.1194,7,Medium
122.8,41.3089,-123.5317,1,High
122.8,41.3089,-123.5317,2,High
122.8,41.3089,-123.5317,3,High
122.8,41.3089,-123.5317,4,High
122.8,41.3089,-123.5317,5,High
122.8,41.3089,-123.5317,6,High
