@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute TPCP_CLASS {Medium,High,Low,None}
@attribute TSNW_CLASS {Low,High}
@attribute MNTM_CLASS {Medium,Low,High,None}

@data
263.3,34.1483,-118.1447,9,None,Low,High
263.3,34.1483,-118.1447,10,Medium,Low,High
263.3,34.1483,-118.1447,11,Medium,Low,Medium
263.3,34.1483,-118.1447,12,High,Low,Medium
263.3,34.1483,-118.1447,1,High,Low,Medium
263.3,34.1483,-118.1447,2,Medium,Low,Medium
263.3,34.1483,-118.1447,3,High,Low,Medium
263.3,34.1483,-118.1447,4,None,Low,High
263.3,34.1483,-118.1447,5,Low,Low,High
263.3,34.1483,-118.1447,6,Low,Low,High
263.3,34.1483,-118.1447,7,None,Low,High
263.3,34.1483,-118.1447,8,None,Low,High
263.3,34.1483,-118.1447,9,Low,Low,High
263.3,34.1483,-118.1447,10,Low,Low,High
263.3,34.1483,-118.1447,11,Medium,Low,Medium
263.3,34.1483,-118.1447,12,Medium,Low,Medium
263.3,34.1483,-118.1447,1,Low,Low,Medium
263.3,34.1483,-118.1447,2,High,Low,Medium
263.3,34.1483,-118.1447,3,High,Low,Medium
263.3,34.1483,-118.1447,4,Medium,Low,High
263.3,34.1483,-118.1447,5,None,Low,High
263.3,34.1483,-118.1447,6,Low,Low,High
263.3,34.1483,-118.1447,7,None,Low,High
156.4,36.3817,-119.0264,1,High,Low,Low
156.4,36.3817,-119.0264,2,High,Low,Low
156.4,36.3817,-119.0264,3,High,Low,Medium
156.4,36.3817,-119.0264,4,Medium,Low,Medium
156.4,36.3817,-119.0264,5,Medium,Low,Medium
156.4,36.3817,-119.0264,6,Medium,Low,High
156.4,36.3817,-119.0264,7,None,Low,High
156.4,36.3817,-119.0264,8,None,Low,High
156.4,36.3817,-119.0264,9,Low,Low,High
156.4,36.3817,-119.0264,10,Medium,Low,High
156.4,36.3817,-119.0264,11,Medium,Low,Low
156.4,36.3817,-119.0264,12,Low,Low,Low
156.4,36.3817,-119.0264,1,High,Low,Low
156.4,36.3817,-119.0264,2,Medium,Low,Low
156.4,36.3817,-119.0264,3,High,Low,Medium
156.4,36.3817,-119.0264,4,High,Low,Medium
156.4,36.3817,-119.0264,5,Low,Low,High
156.4,36.3817,-119.0264,6,None,Low,High
156.4,36.3817,-119.0264,7,None,Low,High
156.4,36.3817,-119.0264,8,None,Low,High
156.4,36.3817,-119.0264,9,None,Low,High
156.4,36.3817,-119.0264,10,Low,Low,High
156.4,36.3817,-119.0264,11,Medium,Low,Medium
156.4,36.3817,-119.0264,12,High,Low,Low
156.4,36.3817,-119.0264,1,Medium,Low,Low
156.4,36.3817,-119.0264,2,Medium,Low,Low
156.4,36.3817,-119.0264,3,Medium,Low,Medium
156.4,36.3817,-119.0264,4,Low,Low,Medium
156.4,36.3817,-119.0264,5,Medium,Low,High
156.4,36.3817,-119.0264,6,None,Low,High
156.4,36.3817,-119.0264,7,Low,Low,High
156.4,36.3817,-119.0264,8,Low,Low,High
156.4,36.3817,-119.0264,9,None,Low,High
156.4,36.3817,-119.0264,10,Low,Low,Medium
156.4,36.3817,-119.0264,11,Medium,Low,Medium
156.4,36.3817,-119.0264,12,Low,Low,Low
156.4,36.3817,-119.0264,1,Medium,Low,Low
156.4,36.3817,-119.0264,2,High,Low,Medium
156.4,36.3817,-119.0264,3,High,Low,Medium
