@relation 'Weather-Dated-weka.filters.unsupervised.attribute.Remove-R1-2,6,8,10,12-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute ELEVATION numeric
@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute MONTH numeric
@attribute MNTM_CLASS {Medium,Low,High,None}

@data
156.4,36.3817,-119.0264,11,Medium
156.4,36.3817,-119.0264,12,Low
156.4,36.3817,-119.0264,1,Low
156.4,36.3817,-119.0264,2,Medium
156.4,36.3817,-119.0264,3,Medium
156.4,36.3817,-119.0264,4,Medium
156.4,36.3817,-119.0264,5,High
156.4,36.3817,-119.0264,6,High
156.4,36.3817,-119.0264,7,High
823,33.2372,-116.7614,1,Low
823,33.2372,-116.7614,2,Low
823,33.2372,-116.7614,3,Low
823,33.2372,-116.7614,4,Low
823,33.2372,-116.7614,5,Medium
823,33.2372,-116.7614,6,Medium
823,33.2372,-116.7614,7,High
823,33.2372,-116.7614,8,High
823,33.2372,-116.7614,9,High
823,33.2372,-116.7614,10,Medium
823,33.2372,-116.7614,11,Low
823,33.2372,-116.7614,12,Low
823,33.2372,-116.7614,1,Low
823,33.2372,-116.7614,2,Low
823,33.2372,-116.7614,3,Low
823,33.2372,-116.7614,4,Medium
823,33.2372,-116.7614,5,Medium
823,33.2372,-116.7614,6,Medium
823,33.2372,-116.7614,7,High
823,33.2372,-116.7614,8,High
823,33.2372,-116.7614,9,High
823,33.2372,-116.7614,10,Medium
823,33.2372,-116.7614,11,Low
823,33.2372,-116.7614,12,Low
823,33.2372,-116.7614,1,Low
823,33.2372,-116.7614,2,Low
823,33.2372,-116.7614,3,Low
823,33.2372,-116.7614,4,Medium
823,33.2372,-116.7614,5,Medium
823,33.2372,-116.7614,6,High
823,33.2372,-116.7614,7,High
823,33.2372,-116.7614,8,High
823,33.2372,-116.7614,9,Low
823,33.2372,-116.7614,10,Medium
823,33.2372,-116.7614,11,Low
823,33.2372,-116.7614,12,Low
823,33.2372,-116.7614,1,Low
823,33.2372,-116.7614,2,Low
823,33.2372,-116.7614,3,Low
823,33.2372,-116.7614,4,Medium
823,33.2372,-116.7614,5,Medium
823,33.2372,-116.7614,6,Medium
823,33.2372,-116.7614,7,High
118,41.8452,-123.9647,1,None
118,41.8452,-123.9647,2,None
118,41.8452,-123.9647,3,None
118,41.8452,-123.9647,4,None
118,41.8452,-123.9647,5,None
118,41.8452,-123.9647,6,None
118,41.8452,-123.9647,7,None
118,41.8452,-123.9647,8,None
118,41.8452,-123.9647,9,None
118,41.8452,-123.9647,10,None
118,41.8452,-123.9647,11,None
118,41.8452,-123.9647,12,None
118,41.8452,-123.9647,1,None
118,41.8452,-123.9647,2,None
118,41.8452,-123.9647,3,None
118,41.8452,-123.9647,4,None
118,41.8452,-123.9647,5,None
118,41.8452,-123.9647,6,None
118,41.8452,-123.9647,7,None
118,41.8452,-123.9647,8,None
118,41.8452,-123.9647,9,None
118,41.8452,-123.9647,10,None
118,41.8452,-123.9647,11,None
118,41.8452,-123.9647,12,None
118,41.8452,-123.9647,1,None
118,41.8452,-123.9647,2,None
118,41.8452,-123.9647,3,None
118,41.8452,-123.9647,4,None
118,41.8452,-123.9647,5,None
118,41.8452,-123.9647,6,None
118,41.8452,-123.9647,7,None
118,41.8452,-123.9647,8,None
118,41.8452,-123.9647,9,None
118,41.8452,-123.9647,10,None
118,41.8452,-123.9647,11,None
118,41.8452,-123.9647,12,None
118,41.8452,-123.9647,1,None
118,41.8452,-123.9647,2,None
118,41.8452,-123.9647,3,None
118,41.8452,-123.9647,4,None
118,41.8452,-123.9647,5,None
118,41.8452,-123.9647,6,None
118,41.8452,-123.9647,7,None
1389.9,40.1703,-121.0883,1,Low
1389.9,40.1703,-121.0883,2,None
1389.9,40.1703,-121.0883,3,None
1389.9,40.1703,-121.0883,4,None
1389.9,40.1703,-121.0883,5,None
1389.9,40.1703,-121.0883,6,None
1389.9,40.1703,-121.0883,7,None
1389.9,40.1703,-121.0883,8,Medium
1389.9,40.1703,-121.0883,9,Medium
1389.9,40.1703,-121.0883,10,Low
1389.9,40.1703,-121.0883,11,None
1389.9,40.1705,-121.0886,12,None
1389.9,40.1705,-121.0886,1,None
1389.9,40.1705,-121.0886,2,None
1389.9,40.1705,-121.0886,3,None
1389.9,40.1705,-121.0886,4,None
1389.9,40.1705,-121.0886,5,None
1389.9,40.1705,-121.0886,6,None
1389.9,40.1705,-121.0886,7,None
1389.9,40.1705,-121.0886,8,Low
1389.9,40.1705,-121.0886,9,Low
1389.9,40.1705,-121.0886,10,None
1389.9,40.1705,-121.0886,11,None
1389.9,40.1705,-121.0886,12,None
1389.9,40.1705,-121.0886,1,Low
1389.9,40.1705,-121.0886,2,Low
1389.9,40.1705,-121.0886,3,None
1389.9,40.1705,-121.0886,4,None
1389.9,40.1705,-121.0886,5,Medium
1389.9,40.1705,-121.0886,6,Medium
1389.9,40.1705,-121.0886,7,High
2071.7,37.9567,-119.1194,1,None
2071.7,37.9567,-119.1194,2,Low
2071.7,37.9567,-119.1194,3,Low
